,0
0,0.0
1,0.0
2,3.2379231192533176e-14
3,2.0795886025611795e-14
4,1.0844074713083155e-14
5,4.840163683161434e-15
6,1.9390009609177245e-15
7,7.859862589287409e-16
8,3.9321057433252445e-16
9,2.52185704864215e-16
10,1.7639100674865528e-16
11,1.2413897655535863e-16
12,9.194289578858893e-17
13,7.580460436274081e-17
14,6.851793771299951e-17
15,6.48819597871887e-17
16,6.330597479297792e-17
17,6.398028912850292e-17
18,6.695313289897584e-17
19,7.167007951978338e-17
20,7.735014091989502e-17
21,8.356376040929729e-17
22,9.013212578293302e-17
23,9.69178240722418e-17
24,1.037430139811828e-16
25,1.1052032921332859e-16
26,1.172587445292609e-16
27,1.240326615855921e-16
28,1.3093070067705746e-16
29,1.3798917172463902e-16
30,1.4518064553285627e-16
31,1.5247738116689217e-16
32,1.59871588756877e-16
33,1.6732697117193608e-16
34,1.748287732971582e-16
35,1.823659073495336e-16
36,1.8989720769340764e-16
37,1.9740458071815005e-16
38,2.049103669667477e-16
39,2.1242478206548371e-16
40,2.1993771398539767e-16
41,2.274565606404586e-16
42,2.3498907493676596e-16
43,2.424970008925506e-16
44,2.4995075353066133e-16
45,2.573664526597128e-16
46,2.6476256205595253e-16
47,2.7211823153368887e-16
48,2.7940177214359963e-16
49,2.86607757925165e-16
50,2.937464415659952e-16
51,3.0082717083675967e-16
52,3.078257048590851e-16
53,3.147341234853887e-16
54,3.215646260241003e-16
55,3.283132776212248e-16
56,3.349609359843371e-16
57,3.4149334215185906e-16
58,3.4791405676443244e-16
59,3.542375150260116e-16
60,3.604646660163382e-16
61,3.665703732879562e-16
62,3.7253261888660343e-16
63,3.783566179552916e-16
64,3.8405614248709515e-16
65,3.89647671002331e-16
66,3.9510781056394983e-16
67,4.004164953139995e-16
68,4.055611848230702e-16
69,4.105488761184062e-16
70,4.1539136855830397e-16
71,4.2009386486974164e-16
72,4.246522125156129e-16
73,4.2905479136610294e-16
74,4.3328810073786424e-16
75,4.3734410566255887e-16
76,4.412342982935283e-16
77,4.4496219084549e-16
78,4.485268394559536e-16
79,4.519231145715583e-16
80,4.551475722646896e-16
81,4.581996559584716e-16
82,4.61079226105857e-16
83,4.637855887274741e-16
84,4.663313744188534e-16
85,4.686744531470999e-16
86,4.708308693949612e-16
87,4.728125846501303e-16
88,4.74627030364513e-16
89,4.762722716037658e-16
90,4.777429273825549e-16
91,4.79034333843951e-16
92,4.80143474488287e-16
93,4.81071015799369e-16
94,4.818220546582182e-16
95,4.824076966843552e-16
96,4.828204550096027e-16
97,4.830555102088107e-16
98,4.831077162562522e-16
99,4.829818191133971e-16
100,4.826876339524135e-16
101,4.822305574932049e-16
102,4.816102476177534e-16
103,4.808244637265082e-16
104,4.798713755532074e-16
105,4.787509850416866e-16
106,4.774663688981394e-16
107,4.760265221522389e-16
108,4.744322650336456e-16
109,4.72686386756041e-16
110,4.70784314621027e-16
111,4.687249404646984e-16
112,4.665138097721539e-16
113,4.64159462766404e-16
114,4.61667529294147e-16
115,4.590394346993632e-16
116,4.562742617017611e-16
117,4.533712789336869e-16
118,4.503327616751323e-16
119,4.47167060042805e-16
120,4.438784606068079e-16
121,4.4047286835718066e-16
122,4.3694790035907066e-16
123,4.333039063421058e-16
124,4.2954199198960306e-16
125,4.2566893089716196e-16
126,4.216927287588613e-16
127,4.1761876628073663e-16
128,4.1344964951569976e-16
129,4.0918664027303527e-16
130,4.0483094932725754e-16
131,4.0038544710574415e-16
132,3.958554267888596e-16
133,3.9125250972115033e-16
134,3.865739481746046e-16
135,3.8182385811063993e-16
136,3.7700301972480884e-16
137,3.72114578925896e-16
138,3.671643315073079e-16
139,3.6216059158219115e-16
140,3.57108429135035e-16
141,3.520109944500815e-16
142,3.4687026815006123e-16
143,3.416926418355626e-16
144,3.3646591094249267e-16
145,3.3121869927897603e-16
146,3.2593919834894477e-16
147,3.2064081313553265e-16
148,3.153384273595592e-16
149,3.0999378398015504e-16
150,3.046583317487147e-16
151,2.993002172386949e-16
152,2.939488235241138e-16
153,2.8859480618049474e-16
154,2.832559505034009e-16
155,2.779166836346267e-16
156,2.726035767154313e-16
157,2.6729508586932434e-16
158,2.620179035191373e-16
159,2.5676014457454235e-16
160,2.515370510807729e-16
161,2.463570011629916e-16
162,2.411966833673637e-16
163,2.36092908454976e-16
164,2.3102289569594825e-16
165,2.2600827051090874e-16
166,2.2104355242192036e-16
167,2.1614195965507877e-16
168,2.1129443363841493e-16
169,2.0651975020134826e-16
170,2.0180343265975411e-16
171,1.971653378633783e-16
172,1.9259744237142334e-16
173,1.8811139712742613e-16
174,1.8371248847883013e-16
175,1.7938782650649266e-16
176,1.7516113724615468e-16
177,1.710173658468127e-16
178,1.6697372916938506e-16
179,1.6302501847731467e-16
180,1.5918091280707157e-16
181,1.5543759887009338e-16
182,1.5180633793076555e-16
183,1.482791310332064e-16
184,1.4486915740253703e-16
185,1.4157049146537097e-16
186,1.3839246695454158e-16
187,1.3533770821020683e-16
188,1.323997394723862e-16
189,1.2959350572530476e-16
190,1.269093850060953e-16
191,1.2435873466379226e-16
192,1.219383915307572e-16
193,1.1965414257980935e-16
194,1.1750494462821445e-16
195,1.1549661855925952e-16
196,1.1362600109986322e-16
197,1.1189972518513195e-16
198,1.1031529464478124e-16
199,1.0887774805329902e-16
200,1.0758645412301441e-16
201,1.0644456080140805e-16
202,1.0545355988942718e-16
203,1.0461109821860275e-16
204,1.0392281774659653e-16
205,1.0338678888950476e-16
206,1.0300628625285718e-16
207,1.0278082845805844e-16
208,1.0271252129367559e-16
209,1.0280068061952729e-16
210,1.0304741805026121e-16
211,1.0345198893943946e-16
212,1.0401609216856439e-16
213,1.0473942005005432e-16
214,1.0562273379403676e-16
215,1.0666602917137905e-16
216,1.0786980617689429e-16
217,1.0923398523760145e-16
218,1.1075816691932249e-16
219,1.1244284325686995e-16
220,1.1428745459763506e-16
221,1.162920843932326e-16
222,1.1845613292840626e-16
223,1.207793987073254e-16
224,1.2326121655679423e-16
225,1.2590111171405044e-16
226,1.2869822366281655e-16
227,1.3165203152189325e-16
228,1.3476141585479174e-16
229,1.38025745965092e-16
230,1.4144380787054746e-16
231,1.4501466602051744e-16
232,1.4873705099965856e-16
233,1.5260990838234533e-16
234,1.566320170611764e-16
235,1.6080113492842654e-16
236,1.6511691051544632e-16
237,1.6957682159903993e-16
238,1.7418038135297172e-16
239,1.7892455337586815e-16
240,1.8380925039752963e-16
241,1.8883059482018857e-16
242,1.93988876371324e-16
243,1.9927989311058482e-16
244,2.0470379049448608e-16
245,2.1025645865130713e-16
246,2.1593774547330407e-16
247,2.2174336202668217e-16
248,2.2767317940165643e-16
249,2.337224857735365e-16
250,2.398912629422772e-16
251,2.461766459631969e-16
252,2.525725069784436e-16
253,2.59082164432576e-16
254,2.656967147708613e-16
