,0
0,0.0
1,0.0
2,-5.236000283632257e-12
3,-1.98586225835456e-12
4,-7.816341441493337e-13
5,-2.8996183239997225e-13
6,-8.512057174291491e-14
7,-5.2703042329962504e-15
8,1.9279095218577743e-14
9,2.0777646791136537e-14
10,1.4465819913070048e-14
11,7.235346780816784e-15
12,1.7437207576642652e-15
13,-1.418022034401268e-15
14,-2.604280281616571e-15
15,-2.5085691420641546e-15
16,-1.8175453669092932e-15
17,-1.0255763523937304e-15
18,-3.9851633076762047e-16
19,-2.921045406886861e-17
20,8.96679792214714e-17
21,2.3235853566407348e-17
22,-1.3208636548341774e-16
23,-2.826052618038074e-16
24,-3.7214750888201143e-16
25,-3.9183332366484093e-16
26,-3.611295994102396e-16
27,-3.034029942406894e-16
28,-2.356344354080413e-16
29,-1.7201628579723004e-16
30,-1.265207879440167e-16
31,-1.0757686419720723e-16
32,-1.1218927207473678e-16
33,-1.2760919863545285e-16
34,-1.4037686195968436e-16
35,-1.4400865038691206e-16
36,-1.394440797365535e-16
37,-1.3018714352908722e-16
38,-1.183030363739082e-16
39,-1.0442318381565916e-16
40,-8.99783203051493e-17
41,-7.79745386206581e-17
42,-7.121925700523358e-17
43,-7.002085859298405e-17
44,-7.186197597121995e-17
45,-7.326263925712747e-17
46,-7.214137133437191e-17
47,-6.864275311055914e-17
48,-6.421322329809495e-17
49,-6.005305788508625e-17
50,-5.635769972847331e-17
51,-5.2723866239406883e-17
52,-4.897348356279918e-17
53,-4.556257533020421e-17
54,-4.323651517763973e-17
55,-4.2315380235222677e-17
56,-4.2339515561812786e-17
57,-4.2320851456344754e-17
58,-4.1388368236185566e-17
59,-3.9318777590253775e-17
60,-3.659121266947569e-17
61,-3.3992004738675485e-17
62,-3.20931987973288e-17
63,-3.096983931864115e-17
64,-3.025896325044595e-17
65,-2.949342130882195e-17
66,-2.8401518670449597e-17
67,-2.7045093155576146e-17
68,-2.5697773537399176e-17
69,-2.4621100970113506e-17
70,-2.3890588304032618e-17
71,-2.3370081884002714e-17
72,-2.2818781660041897e-17
73,-2.2053749440718562e-17
74,-2.1046165806079355e-17
75,-1.9927345497112284e-17
76,-1.8902803565644254e-17
77,-1.8131843776472294e-17
78,-1.7649532238338793e-17
79,-1.7359116791057273e-17
80,-1.7091757573002416e-17
81,-1.6693243047945054e-17
82,-1.6092444190789664e-17
83,-1.5322173902975893e-17
84,-1.4499973467502984e-17
85,-1.3751373686563529e-17
86,-1.3178120227402528e-17
87,-1.280765317314543e-17
88,-1.2592303337136616e-17
89,-1.243677976000382e-17
90,-1.2240089343617833e-17
91,-1.1933438988190457e-17
92,-1.1501291182933331e-17
93,-1.0980221549646786e-17
94,-1.0439073318828382e-17
95,-9.95042615563413e-18
96,-9.564969888512332e-18
97,-9.297387017133857e-18
98,-9.127459276207235e-18
99,-9.011028246468567e-18
100,-8.895672036562138e-18
101,-8.736563165056268e-18
102,-8.508687719009582e-18
103,-8.211473803376116e-18
104,-7.865833991010917e-18
105,-7.50565002470488e-18
106,-7.167009603659988e-18
107,-6.87862086672565e-18
108,-6.653693052037576e-18
109,-6.490799044185647e-18
110,-6.3737037496317024e-18
111,-6.2792285984696076e-18
112,-6.1834363439445e-18
113,-6.0669366023071084e-18
114,-5.918347946599536e-18
115,-5.735825764609911e-18
116,-5.5261745168887755e-18
117,-5.3021184404471946e-18
118,-5.078966028891904e-18
119,-4.871237586359016e-18
120,-4.6894910875617864e-18
121,-4.538724564121896e-18
122,-4.417425952459035e-18
123,-4.320259119298608e-18
124,-4.238394133726624e-18
125,-4.162548037925668e-18
126,-4.08431410656677e-18
127,-3.997335362864925e-18
128,-3.898229441932739e-18
129,-3.7869110538706135e-18
130,-3.665934784704208e-18
131,-3.539653782421928e-18
132,-3.4132805621024042e-18
133,-3.2920106712907103e-18
134,-3.17908795659225e-18
135,-3.076578964468101e-18
136,-2.9846108574953065e-18
137,-2.902073335991247e-18
138,-2.8267886961139773e-18
139,-2.7566512801045515e-18
140,-2.68899380626874e-18
141,-2.621754617076964e-18
142,-2.5535382606661665e-18
143,-2.4840663615694992e-18
144,-2.4129805659548515e-18
145,-2.3421897409577232e-18
146,-2.27241229080533e-18
147,-2.205132474918846e-18
148,-2.141688705267367e-18
149,-2.080419283847837e-18
150,-2.023316507638578e-18
151,-1.96842960837366e-18
152,-1.9157472007541703e-18
153,-1.8636592360631726e-18
154,-1.811615879505459e-18
155,-1.7579641730647905e-18
156,-1.7035818601560407e-18
157,-1.6474427517480548e-18
158,-1.5909894292683155e-18
159,-1.5344473049632716e-18
160,-1.4795361292756315e-18
161,-1.427222694012373e-18
162,-1.3775990875146076e-18
163,-1.3322345052695868e-18
164,-1.290848966466499e-18
165,-1.2533678332414547e-18
166,-1.2191992346771354e-18
167,-1.1876783566804506e-18
168,-1.157296912987367e-18
169,-1.127737998277292e-18
170,-1.0973594769105578e-18
171,-1.0661491226767333e-18
172,-1.0332776673974654e-18
173,-9.992160562350566e-19
174,-9.642316897319131e-19
175,-9.283326083528952e-19
176,-8.926875094732193e-19
177,-8.575858650156031e-19
178,-8.239465319779077e-19
179,-7.922341558934108e-19
180,-7.625499295853031e-19
181,-7.349238415684066e-19
182,-7.095071283756655e-19
183,-6.855336573158086e-19
184,-6.629688390075951e-19
185,-6.410093465440364e-19
186,-6.19454068983644e-19
187,-5.979476206745641e-19
188,-5.759571547304813e-19
189,-5.536470540635237e-19
190,-5.307250049095194e-19
191,-5.076605240877804e-19
192,-4.846638639768968e-19
193,-4.61927655238081e-19
194,-4.397696935319759e-19
195,-4.18493044010732e-19
196,-3.9826138198737487e-19
197,-3.7922801421768683e-19
198,-3.612883136004111e-19
199,-3.4444246913935976e-19
200,-3.2853546654129765e-19
201,-3.1343964780550295e-19
202,-2.988685131568212e-19
203,-2.8445872870447686e-19
204,-2.7017921844252687e-19
205,-2.5592937142516605e-19
206,-2.4164572854234097e-19
207,-2.272791942578809e-19
208,-2.1289535416816882e-19
209,-1.9862351203075772e-19
210,-1.846341033435193e-19
211,-1.7099606733619752e-19
212,-1.577582509825998e-19
213,-1.4506535583080125e-19
214,-1.3295486167104755e-19
215,-1.2148664289795978e-19
216,-1.1057751880010928e-19
217,-1.0012545043159198e-19
218,-9.014072568585135e-20
219,-8.057982110511624e-20
220,-7.13744358572315e-20
221,-6.233657275493657e-20
222,-5.345779075824004e-20
223,-4.472842099437809e-20
224,-3.6169651547286976e-20
225,-2.7707449481108745e-20
226,-1.9372660458827603e-20
227,-1.1185506883076231e-20
228,-3.2818503775020154e-21
229,4.3343299527567425e-21
230,1.1670609040977765e-20
231,1.8736036432326997e-20
232,2.545795026927683e-20
233,3.182874518769095e-20
234,3.790700428184201e-20
235,4.3712363241189136e-20
236,4.936543237111749e-20
237,5.475523335203487e-20
238,5.998864139537265e-20
