,0
0,0.0
1,0.0
2,8.77100573827005e-09
3,2.663931832922071e-09
4,1.104717808512449e-09
5,5.471935441146049e-10
6,3.0418146800954005e-10
7,1.834714308433069e-10
8,1.1760942638491034e-10
9,7.904127656945497e-11
10,5.515939104521661e-11
11,3.9707219488281925e-11
12,2.9321046728505376e-11
13,2.2134111984235014e-11
14,1.7021121690981823e-11
15,1.3305619457973898e-11
16,1.0550470524460928e-11
17,8.470318753901794e-12
18,6.877839765530742e-12
19,5.6412241843848964e-12
20,4.668638992965347e-12
21,3.895552915801057e-12
22,3.2750676088515664e-12
23,2.7723430978504493e-12
24,2.361514101408271e-12
25,2.0233004322665873e-12
26,1.7427064295627976e-12
27,1.508587990093442e-12
28,1.3119811695108922e-12
29,1.1459019152717086e-12
30,1.0049172840058344e-12
31,8.845287218184134e-13
32,7.813778168856301e-13
33,6.925687013391951e-13
34,6.157925439744132e-13
35,5.491609626023018e-13
36,4.911091053906114e-13
37,4.4035514308610267e-13
38,3.9585435463155955e-13
39,3.567090698066422e-13
40,3.221725368544348e-13
41,2.916161751021032e-13
42,2.6450715568883745e-13
43,2.40392610324163e-13
44,2.1889272689724438e-13
45,1.9967162871606394e-13
46,1.824611208825986e-13
47,1.6701346192201804e-13
48,1.5311955258627144e-13
49,1.4059911676221807e-13
50,1.2929147523107025e-13
51,1.1906331362068743e-13
52,1.0979524659115493e-13
53,1.0137969934128305e-13
54,9.373120549183959e-14
55,8.676689104916046e-14
56,8.041597516017713e-14
57,7.46165963334069e-14
58,6.931103171450704e-14
59,6.445227443613983e-14
60,5.999681147284028e-14
61,5.590595177601043e-14
62,5.21436121853527e-14
63,4.8681850692078093e-14
64,4.54919139437151e-14
65,4.255016770899418e-14
66,3.9831921381356516e-14
67,3.731892676334545e-14
68,3.4993268604632326e-14
69,3.2838823048906094e-14
70,3.0841045823926914e-14
71,2.8986799647007035e-14
72,2.726341673501764e-14
73,2.5661502722613094e-14
74,2.4171431647688816e-14
75,2.278247184702955e-14
76,2.148766514174387e-14
77,2.027966076436788e-14
78,1.9151740183984636e-14
79,1.8097780913582397e-14
80,1.71121858341984e-14
81,1.618983956378272e-14
82,1.5326073958267083e-14
83,1.4516227971848033e-14
84,1.3757573352272905e-14
85,1.3045025504788644e-14
86,1.2375927969187148e-14
87,1.1747232898011073e-14
88,1.115613106111797e-14
89,1.060004226040636e-14
90,1.007658221797099e-14
91,9.583543785070204e-15
92,9.11888866718161e-15
93,8.680732384704788e-15
94,8.267338345830249e-15
95,7.877217232908157e-15
96,7.508536304207316e-15
97,7.160150184226806e-15
98,6.8307714148738865e-15
99,6.519206039411447e-15
100,6.22434456051484e-15
101,5.945157172796762e-15
102,5.680685925054332e-15
103,5.430044351644913e-15
104,5.192400177755795e-15
105,4.9669790920868655e-15
106,4.7530576769492094e-15
107,4.550148524092457e-15
108,4.357105960846261e-15
109,4.173759113831203e-15
110,3.999473654622647e-15
111,3.8337379266792405e-15
112,3.676069643569887e-15
113,3.5260184103338553e-15
114,3.383161606298818e-15
115,3.247102366262108e-15
116,3.1174690785061005e-15
117,2.993912139749924e-15
118,2.876104147050101e-15
119,2.7638757649758406e-15
120,2.656643478762016e-15
121,2.554296955686556e-15
122,2.4565308377864823e-15
123,2.3631973674887216e-15
124,2.274027945054341e-15
125,2.188808489625245e-15
126,2.1073380723847214e-15
127,2.0294282782857286e-15
128,1.9549001023088214e-15
129,1.8835854048705108e-15
130,1.815325337958385e-15
131,1.7499696732920013e-15
132,1.6873767277852817e-15
133,1.6274920638303762e-15
134,1.5700183114843892e-15
135,1.5149271098729789e-15
136,1.4621059797247255e-15
137,1.411447413364544e-15
138,1.362820806588862e-15
139,1.316184878103441e-15
140,1.2714225455362994e-15
141,1.2284477912114175e-15
142,1.1871770136861632e-15
143,1.1475633467292658e-15
144,1.1094399232272737e-15
145,1.0728678270603795e-15
146,1.0376586219557613e-15
147,1.0038491129503596e-15
148,9.71376176217491e-16
149,9.400153329474874e-16
150,9.099537754620193e-16
151,8.809223034505e-16
152,8.530678208020687e-16
153,8.261684328204674e-16
154,8.003359129032989e-16
155,7.753739601232353e-16
156,7.51394428823012e-16
157,7.282376001482625e-16
158,7.059714628236803e-16
159,6.844509988825004e-16
160,6.637516891513853e-16
161,6.437901135444759e-16
162,6.244830589012196e-16
163,6.058989222294313e-16
164,5.879300058714839e-16
165,5.706146017997247e-16
166,5.538595662512418e-16
167,5.377328214791461e-16
168,5.221112004281346e-16
169,5.070668246925597e-16
170,4.924910552998231e-16
171,4.784458511947769e-16
172,4.648363041616093e-16
173,4.517146441524734e-16
174,4.390326084381739e-16
175,4.267306312807401e-16
176,4.148670938855274e-16
177,4.0336323161830034e-16
178,3.922578304813705e-16
179,3.814933042368006e-16
180,3.7109050044068323e-16
181,3.6099913137497426e-16
182,3.512599710216545e-16
183,3.418021744982539e-16
184,3.326698889606759e-16
185,3.2380038388983416e-16
186,3.1523156984418726e-16
187,3.0693476320898703e-16
188,2.988634500798295e-16
189,2.910695604538574e-16
190,2.8349055114428997e-16
191,2.761646452132016e-16
192,2.6904367652045934e-16
193,2.621536279459419e-16
194,2.5545900035917374e-16
195,2.489751968217533e-16
196,2.426777821304437e-16
197,2.365726716347477e-16
198,2.3063755293878843e-16
199,2.248939449570251e-16
200,2.1930339011455632e-16
201,2.13890641689691e-16
202,2.086392884691906e-16
203,2.0351815504886588e-16
204,1.9856417701807016e-16
205,1.937350488524946e-16
206,1.890591220354573e-16
207,1.8450305372845101e-16
208,1.800873495841298e-16
209,1.7578663054580974e-16
210,1.7161452124858574e-16
211,1.6755277097180024e-16
212,1.6360886376190304e-16
213,1.59771007694773e-16
214,1.5604096354960428e-16
215,1.524076329124336e-16
216,1.4888341216781436e-16
217,1.454586228727483e-16
218,1.4211066713857089e-16
219,1.3886782756135548e-16
220,1.3569908342741861e-16
221,1.3262714770861756e-16
222,1.2962665930466741e-16
223,1.2671519922246013e-16
224,1.2387273246426547e-16
225,1.2111218681938428e-16
226,1.1841824850338715e-16
227,1.1579959622435436e-16
228,1.1324532924065844e-16
229,1.1076023446876202e-16
230,1.0833735581805798e-16
231,1.0597795390256761e-16
232,1.0367872224327031e-16
233,1.0143774747332784e-16
234,9.925938936959812e-17
235,9.71255490298581e-17
236,9.505530598171658e-17
237,9.302824687716435e-17
238,9.10599256480124e-17
239,8.913356927743917e-17
240,8.726144625674132e-17
241,8.543003425012415e-17
242,8.364867125302958e-17
243,8.190684786019718e-17
244,8.021120572677531e-17
245,7.855396994157845e-17
246,7.693930901253848e-17
247,7.536197968802181e-17
248,7.382384180213778e-17
249,7.232199005060044e-17
250,7.085619804995735e-17
251,6.943133496486296e-17
252,6.802835889078848e-17
253,6.666774577178824e-17
254,6.533276904815468e-17
255,6.403502925320517e-17
256,6.276232788742017e-17
