,0
0,0.0
1,0.0
2,1.2838178821544896e-09
3,4.5331466265989835e-10
4,2.0551208091302416e-10
5,1.0800315754278152e-10
6,6.267402144642691e-11
7,3.907659916710811e-11
8,2.572622183156478e-11
9,1.7665891810329808e-11
10,1.2559653407297688e-11
11,9.19677567649906e-12
12,6.896865994501598e-12
13,5.281987734718247e-12
14,4.1138221520874036e-12
15,3.2514111815153346e-12
16,2.6029862280064124e-12
17,2.107676106517591e-12
18,1.7252732087575942e-12
19,1.4253443573565756e-12
20,1.1879395839344812e-12
21,9.980815432225936e-13
22,8.449626052041652e-13
23,7.20069929253904e-13
24,6.171870283609432e-13
25,5.319099375263034e-13
26,4.606186804158006e-13
27,4.008719343677226e-13
28,3.5040310166005327e-13
29,3.0749565304617466e-13
30,2.709115004645326e-13
31,2.3955189929628186e-13
32,2.1263476043030255e-13
33,1.893895782425035e-13
34,1.6919219897219372e-13
35,1.515698680343487e-13
36,1.3614566848089668e-13
37,1.226028131579621e-13
38,1.1068356484476895e-13
39,1.0015645049433521e-13
40,9.082624740918795e-14
41,8.254378953976032e-14
42,7.517629084820849e-14
43,6.860286473885194e-14
44,6.273523028724227e-14
45,5.747664661242262e-14
46,5.2745614263530317e-14
47,4.847761270549372e-14
48,4.4620209374712777e-14
49,4.1129877065296075e-14
50,3.7977118245700026e-14
51,3.511862036788523e-14
52,3.251558412197543e-14
53,3.01410269973795e-14
54,2.7975521484612078e-14
55,2.6001335021990065e-14
56,2.4201775943978585e-14
57,2.255600763366438e-14
58,2.104267707161389e-14
59,1.9647412948710645e-14
60,1.8359710175634547e-14
61,1.7172759162549535e-14
62,1.6081560035446382e-14
63,1.5078505306125282e-14
64,1.4152695561671728e-14
65,1.3296630437620878e-14
66,1.2497294906589849e-14
67,1.1753941747596261e-14
68,1.1066269703565968e-14
69,1.0430223281905148e-14
70,9.839549817985845e-15
71,9.288939267835089e-15
72,8.773809178837205e-15
73,8.291815513494649e-15
74,7.840775495426275e-15
75,7.421577237967268e-15
76,7.029819777046444e-15
77,6.663841961036378e-15
78,6.321229824005377e-15
79,5.999556714569746e-15
80,5.697604938013153e-15
81,5.41439663592938e-15
82,5.148244305219484e-15
83,4.897260146716611e-15
84,4.661271968177957e-15
85,4.4367868838771415e-15
86,4.226152493874436e-15
87,4.02915239650577e-15
88,3.844087513671849e-15
89,3.669471837236142e-15
90,3.5042928038956376e-15
91,3.347629858732386e-15
92,3.1989096238797767e-15
93,3.0580404874133083e-15
94,2.924920655073142e-15
95,2.799443861896209e-15
96,2.680136081467428e-15
97,2.5664927852501607e-15
98,2.458432585485479e-15
99,2.3563242127119228e-15
100,2.2599213186542183e-15
101,2.168498011215036e-15
102,2.0814563965581245e-15
103,1.998458973434014e-15
104,1.9192152956949203e-15
105,1.8436059710472258e-15
106,1.7716557178187722e-15
107,1.7034706622069914e-15
108,1.6384806126993485e-15
109,1.5763744247989945e-15
110,1.5167913340230844e-15
111,1.459808414498622e-15
112,1.4056392214119017e-15
113,1.354180826762067e-15
114,1.3051106844878838e-15
115,1.2581756528085088e-15
116,1.2132136066248553e-15
117,1.1700763828529509e-15
118,1.1286995757910153e-15
119,1.0890945832880445e-15
120,1.0514211441704073e-15
121,1.0153042886721806e-15
122,9.805153507959743e-16
123,9.469824876383011e-16
124,9.147740809718213e-16
125,8.840284658393053e-16
126,8.546971070169937e-16
127,8.26608654347462e-16
128,7.996461053829926e-16
129,7.73728236625639e-16
130,7.487601017868862e-16
131,7.24703153893825e-16
132,7.01578914195464e-16
133,6.794867609472477e-16
134,6.582019738081468e-16
135,6.37608801718764e-16
136,6.176491392033458e-16
137,5.984029249312714e-16
138,5.799348391942751e-16
139,5.622577842939299e-16
140,5.452734081651218e-16
141,5.289262609744168e-16
142,5.131807718481526e-16
143,4.979702006061686e-16
144,4.832790383241972e-16
145,4.690965748979667e-16
146,4.55505554250519e-16
147,4.423586302588888e-16
148,4.2974402241221257e-16
149,4.173133684529982e-16
150,4.0532619356868443e-16
151,3.938151862723974e-16
152,3.8266292219523794e-16
153,3.7188151226593877e-16
154,3.615436755870798e-16
155,3.5143717556735435e-16
156,3.4178589493934017e-16
157,3.3237729549928326e-16
158,3.2330589941141083e-16
159,3.1457049416494203e-16
160,3.061378421984255e-16
161,2.980345018435716e-16
162,2.9003296339042375e-16
163,2.82307948201778e-16
164,2.7485761735443823e-16
165,2.675975325788571e-16
166,2.605711513598353e-16
167,2.53791223367043e-16
168,2.471489749651022e-16
169,2.4078539961581316e-16
170,2.345544740662339e-16
171,2.2853584694524414e-16
172,2.2270232543942153e-16
173,2.1707213081798142e-16
174,2.1167453222023213e-16
175,2.0634314626575125e-16
176,2.011874421444395e-16
177,1.9618715316442853e-16
178,1.913346906040983e-16
179,1.8663151093017078e-16
180,1.8204879034841944e-16
181,1.775696471831425e-16
182,1.7326690838031911e-16
183,1.6903299208425703e-16
184,1.649346510163248e-16
185,1.609372006863976e-16
186,1.5706728661226465e-16
187,1.5335368659329313e-16
188,1.4968630645333686e-16
189,1.4613917126320111e-16
190,1.426743646556278e-16
191,1.3932614643363868e-16
192,1.3607782630479875e-16
193,1.3291167950607542e-16
194,1.2981747343066382e-16
195,1.2682734567712733e-16
196,1.2390141465001852e-16
197,1.2105607313061588e-16
198,1.1826217563991011e-16
199,1.1554788235752638e-16
200,1.1291449298110036e-16
201,1.1035991841249711e-16
202,1.0786770080506965e-16
203,1.0541365397423242e-16
204,1.030359261386255e-16
205,1.0073195939466431e-16
206,9.849452398824278e-17
207,9.629377691039241e-17
208,9.416600531297084e-17
209,9.208395458530402e-17
210,9.006844594851264e-17
211,8.809190841204234e-17
212,8.615466331471264e-17
213,8.427332602045838e-17
214,8.244440096409225e-17
215,8.065263924611076e-17
216,7.890636783572727e-17
217,7.719500724180268e-17
218,7.55214407017742e-17
219,7.390637239883538e-17
220,7.231467308367133e-17
221,7.076701721877967e-17
222,6.924522673168844e-17
223,6.777996793051706e-17
224,6.634514961701936e-17
225,6.494073495735137e-17
226,6.35644890108124e-17
227,6.222763176744075e-17
228,6.09279611728178e-17
229,5.966132781241025e-17
230,5.840928928448651e-17
231,5.718833686397667e-17
232,5.599959642311525e-17
233,5.484213321096788e-17
234,5.37128338781835e-17
235,5.258793968674624e-17
236,5.150371217062391e-17
237,5.0439187881694433e-17
238,4.940876515347589e-17
239,4.838987800001577e-17
240,4.739125856455258e-17
241,4.6421054942766255e-17
242,4.548027549499423e-17
243,4.455805119967684e-17
244,4.3652263974526315e-17
245,4.2760756257766055e-17
246,4.190057091413958e-17
247,4.1059427624263435e-17
248,4.0236782871746414e-17
249,3.942299552075928e-17
250,3.862997509133123e-17
251,3.7867657446378865e-17
252,3.710893770495354e-17
253,3.637184730781066e-17
254,3.563764552140451e-17
255,3.4931137987934937e-17
256,3.42382904297761e-17
