,0
0,0.0
1,0.0
2,2.747326363497253e-12
3,1.5398933817717776e-12
4,8.669044717357606e-13
5,4.923921005982153e-13
6,2.834979182967474e-13
7,1.6709860122241774e-13
8,1.0265580200279369e-13
9,6.746637167037072e-14
10,4.8464141404249816e-14
11,3.830105440791743e-14
12,3.274716301410712e-14
13,2.943348649843222e-14
14,2.7146194915990615e-14
15,2.5333893371317053e-14
16,2.3783925996469776e-14
17,2.2421004738251565e-14
18,2.1217235152422555e-14
19,2.0210016480226592e-14
20,1.9324836852410262e-14
21,1.8557911927446755e-14
22,1.7875612104889363e-14
23,1.724974493927207e-14
24,1.6641536666738494e-14
25,1.601459985429233e-14
26,1.53726732618737e-14
27,1.470914974569289e-14
28,1.403430781037624e-14
29,1.3366117589892694e-14
30,1.2711227488178187e-14
31,1.2073363794315245e-14
32,1.1452450651635242e-14
33,1.084478155969532e-14
34,1.02436381379398e-14
35,9.649777325483288e-15
36,9.063076912418103e-15
37,8.479241742715433e-15
38,7.895183996887096e-15
39,7.311633514339115e-15
40,6.731317135524462e-15
41,6.156161187942266e-15
42,5.591849425934416e-15
43,5.044012691389197e-15
44,4.503791280728392e-15
45,3.9652826516845674e-15
46,3.4318298574682314e-15
47,2.906989858404414e-15
48,2.3915307206846026e-15
49,1.884291704547786e-15
50,1.3778620861132658e-15
51,8.749988722707634e-16
52,3.80261073580245e-16
53,-1.0677193778883155e-16
54,-5.842743367389051e-16
55,-1.0518925829165096e-15
56,-1.5125504663884106e-15
57,-1.9682218329909266e-15
58,-2.4184300205768484e-15
59,-2.862267952897086e-15
60,-3.2967891055013336e-15
61,-3.720603694524671e-15
62,-4.138147769918371e-15
63,-4.551584879220849e-15
64,-4.959981376350824e-15
65,-5.362752939626443e-15
66,-5.751437188902916e-15
67,-6.1282601935733505e-15
68,-6.499159672573628e-15
69,-6.866408950773004e-15
70,-7.227634484982606e-15
71,-7.580933316063564e-15
72,-7.925503889914e-15
73,-8.260095160413793e-15
74,-8.58457858676962e-15
75,-8.906957093466968e-15
76,-9.221609257564677e-15
77,-9.528306603564418e-15
78,-9.826003301573491e-15
79,-1.011346277949584e-14
80,-1.0392351230698987e-14
81,-1.0665362490115859e-14
82,-1.0932626941270222e-14
83,-1.1192446630884358e-14
84,-1.1445289016877339e-14
85,-1.168368347377687e-14
86,-1.1914792812609457e-14
87,-1.2141688935919759e-14
88,-1.2362946617018131e-14
89,-1.2576376052208646e-14
90,-1.2781232596153381e-14
91,-1.2977066073282695e-14
92,-1.3163933113616005e-14
93,-1.334325525880321e-14
94,-1.3516506280224267e-14
95,-1.3684810767823291e-14
96,-1.3844688814930804e-14
97,-1.3994741889885567e-14
98,-1.4135187866601438e-14
99,-1.4268923982485496e-14
100,-1.4397617133183154e-14
101,-1.4520250648145115e-14
102,-1.4635415372779973e-14
103,-1.4742474464777974e-14
104,-1.4841219723302977e-14
105,-1.4932112323130854e-14
106,-1.5016238146714384e-14
107,-1.5094977387687776e-14
108,-1.5167899450949414e-14
109,-1.5233274512146267e-14
110,-1.5289994799545195e-14
111,-1.533850295775441e-14
112,-1.5380886969794328e-14
113,-1.541822339380735e-14
114,-1.5449793142328925e-14
115,-1.547462269890229e-14
116,-1.5492236773886748e-14
117,-1.5502559205614128e-14
118,-1.5506144234152526e-14
119,-1.550347861237206e-14
120,-1.5497120073416903e-14
121,-1.5484643423898378e-14
122,-1.5465237287116275e-14
123,-1.54384813259852e-14
124,-1.540487057124867e-14
125,-1.5365983242938332e-14
126,-1.5322560820270646e-14
127,-1.5274135085018314e-14
128,-1.5220089560437966e-14
129,-1.516008719829306e-14
130,-1.509399131869503e-14
131,-1.5022129594875664e-14
132,-1.494521432171606e-14
133,-1.4864389170418575e-14
134,-1.477867632617329e-14
135,-1.4687447708341277e-14
136,-1.4590333289212047e-14
137,-1.448777873620082e-14
138,-1.438081400624803e-14
139,-1.427012697733737e-14
140,-1.4155373897721321e-14
141,-1.4036117855657934e-14
142,-1.3912185689344334e-14
143,-1.3783433842889283e-14
144,-1.3650051964020066e-14
145,-1.3512612092055961e-14
146,-1.3372219127666834e-14
147,-1.3227512930390416e-14
148,-1.3080598222481574e-14
149,-1.2927303251512511e-14
150,-1.2770790696143614e-14
151,-1.2611246014406472e-14
152,-1.2447755541093005e-14
153,-1.2281655668612407e-14
154,-1.211302159308256e-14
155,-1.1939734107991241e-14
156,-1.1764524909988201e-14
157,-1.1585146466602336e-14
158,-1.1403240369355726e-14
159,-1.1218871751772946e-14
160,-1.1031634604068615e-14
161,-1.0843171905048556e-14
162,-1.0650155716177531e-14
163,-1.0455471852224706e-14
164,-1.0258442308218137e-14
165,-1.0058795310342815e-14
166,-9.85760318484792e-15
167,-9.654766855670803e-15
168,-9.449165597907214e-15
169,-9.242579210358663e-15
170,-9.03329393271766e-15
171,-8.822703278915663e-15
172,-8.610624964928699e-15
173,-8.397051160124295e-15
174,-8.182963907523364e-15
175,-7.966252938254135e-15
176,-7.749025837775572e-15
177,-7.530250933079078e-15
178,-7.310497055548666e-15
179,-7.0900701573042726e-15
180,-6.868981205080545e-15
181,-6.646786231489364e-15
182,-6.424473446832725e-15
183,-6.200864053708817e-15
184,-5.977135699672177e-15
185,-5.752816113525771e-15
186,-5.5282374726666754e-15
187,-5.30399409293879e-15
188,-5.078727960906344e-15
189,-4.8540151330739196e-15
190,-4.628827752731408e-15
191,-4.403820680008188e-15
192,-4.179066343588088e-15
193,-3.9546435682614816e-15
194,-3.7303881807416466e-15
195,-3.5068899565454697e-15
196,-3.283451386850719e-15
197,-3.0608145366264546e-15
198,-2.8386335193810304e-15
199,-2.6172368018894596e-15
200,-2.3966289225671836e-15
201,-2.176937434577907e-15
202,-1.958316093553895e-15
203,-1.7403084142639797e-15
204,-1.5235389810806305e-15
205,-1.3078248284910978e-15
206,-1.0933763335119556e-15
207,-8.801466767371711e-16
208,-6.683683851461337e-16
209,-4.578049639741443e-16
210,-2.48831857143151e-16
211,-4.123352590207259e-17
212,1.64724787826254e-16
213,3.690620793578916e-16
214,5.717017386215461e-16
215,7.72605223294592e-16
216,9.71662087036866e-16
217,1.1688808482245281e-15
218,1.3642443375768649e-15
219,1.557635530583329e-15
220,1.7490086994692205e-15
221,1.9383045374570717e-15
222,2.125509665871872e-15
223,2.3105348542101077e-15
224,2.4933778804486424e-15
225,2.673978292680791e-15
226,2.852275356663951e-15
227,3.0282673536229225e-15
228,3.201848770495723e-15
229,3.3730533421323455e-15
230,3.5417574125810616e-15
231,3.708015557282728e-15
232,3.87169927596396e-15
233,4.032864523522629e-15
234,4.1914759431743975e-15
235,4.3473393984716525e-15
236,4.500673779499989e-15
237,4.6511782047764545e-15
238,4.799083534067131e-15
239,4.944128134295445e-15
240,5.0865025971892614e-15
241,5.225978553129105e-15
242,5.36274883924166e-15
