,0
0,0.0
1,0.0
2,1.0681642997628147e-09
3,5.056137173906666e-10
4,2.8716990483644033e-10
5,1.8337235807610407e-10
6,1.2704742759961264e-10
7,9.340976584056992e-11
8,7.176389300538165e-11
9,5.712420827799071e-11
10,4.6691407676461526e-11
11,3.899539610280298e-11
12,3.319495788513379e-11
13,2.8681147880172605e-11
14,2.508272839291792e-11
15,2.2173283794097658e-11
16,1.979412226138409e-11
17,1.7823186956060732e-11
18,1.615565233749818e-11
19,1.4752260470719645e-11
20,1.3540868467026547e-11
21,1.249163022066452e-11
22,1.1576562369284779e-11
23,1.0772758416304783e-11
24,1.0062818259099509e-11
25,9.432326960263826e-12
26,8.868944118398544e-12
27,8.363930315772756e-12
28,7.908914550099858e-12
29,7.497472744300475e-12
30,7.1240736535169785e-12
31,6.7828593360581374e-12
32,6.471083635940664e-12
33,6.185312752232897e-12
34,5.9224344241054005e-12
35,5.680063544660614e-12
36,5.455737523282493e-12
37,5.247493351282599e-12
38,5.0541814799966215e-12
39,4.874523499925519e-12
40,4.707070048919325e-12
41,4.550683964039254e-12
42,4.403988651959089e-12
43,4.265877041025005e-12
44,4.136359725612257e-12
45,4.0148979025054366e-12
46,3.900577448317943e-12
47,3.792638947207225e-12
48,3.690313206425565e-12
49,3.593208217361396e-12
50,3.501753967476901e-12
51,3.4154364401831374e-12
52,3.3335203691655833e-12
53,3.255452003189911e-12
54,3.180987437708759e-12
55,3.1099871203044573e-12
56,3.042556443819957e-12
57,2.978513790735417e-12
58,2.917479194882504e-12
59,2.8591114849439416e-12
60,2.8030956405295304e-12
61,2.74935486523162e-12
62,2.6980083113702094e-12
63,2.6491195053376604e-12
64,2.602407772996393e-12
65,2.557772872309483e-12
66,2.5142630617278265e-12
67,2.472271982322029e-12
68,2.432240918213691e-12
69,2.3941100396894172e-12
70,2.357533104384442e-12
71,2.3222404577594464e-12
72,2.2880153998733953e-12
73,2.2549064784538605e-12
74,2.2228786706425635e-12
75,2.192569288804516e-12
76,2.163330331361368e-12
77,2.1350773172955835e-12
78,2.107624119899676e-12
79,2.0808626260353858e-12
80,2.0549901704800767e-12
81,2.0301911782421875e-12
82,2.0063753084941847e-12
83,1.9833376623914032e-12
84,1.961105064002153e-12
85,1.9389006553584672e-12
86,1.917499774213076e-12
87,1.8970956538785073e-12
88,1.8774674797113762e-12
89,1.8584068357158766e-12
90,1.8398257740419736e-12
91,1.8216311323414917e-12
92,1.8038345679579439e-12
93,1.786588128145038e-12
94,1.7699807942883602e-12
95,1.7540926665246913e-12
96,1.7384909749312412e-12
97,1.7230382103381668e-12
98,1.7077933963924554e-12
99,1.6930471968706476e-12
100,1.6789055037198744e-12
101,1.6652186295783296e-12
102,1.6518345759338118e-12
103,1.6386803498245606e-12
104,1.6257212713487723e-12
105,1.6130066072320618e-12
106,1.6006396620491806e-12
107,1.5887217257921915e-12
108,1.57713263156594e-12
109,1.565703122148741e-12
110,1.554310850356164e-12
111,1.543029320603951e-12
112,1.532069192208931e-12
113,1.5214945663465175e-12
114,1.5111902653158225e-12
115,1.5010472670136578e-12
116,1.4910159547062363e-12
117,1.4810751789114681e-12
118,1.4712641529949232e-12
119,1.4616150510287028e-12
120,1.4523762318542449e-12
121,1.443269799625891e-12
122,1.4342141269452987e-12
123,1.4251410884748036e-12
124,1.4161205020581489e-12
125,1.4073022117562099e-12
126,1.3987310648631862e-12
127,1.3903285403448278e-12
128,1.3820136846695877e-12
129,1.3737420322571056e-12
130,1.3654961682483642e-12
131,1.3573091583687158e-12
132,1.3492452124698368e-12
133,1.341403766721174e-12
134,1.3336543314844366e-12
135,1.3259057683609005e-12
136,1.3181109256991284e-12
137,1.3103277493063398e-12
138,1.3026684976623321e-12
139,1.2951731076189674e-12
140,1.2877821295217075e-12
141,1.2804328685195776e-12
142,1.2730973702911506e-12
143,1.2657321660545265e-12
144,1.258413358409425e-12
145,1.2511044212720241e-12
146,1.2439794918935341e-12
147,1.2368303788129604e-12
148,1.2298585203033276e-12
149,1.2226855794063562e-12
150,1.2155267530559801e-12
151,1.20853215093502e-12
152,1.2014706371034756e-12
153,1.1945265769388144e-12
154,1.1876732767284432e-12
155,1.1806767110080708e-12
156,1.17380635076888e-12
157,1.166856948872988e-12
158,1.1599299011005131e-12
159,1.1530970089535868e-12
160,1.1462362099310672e-12
161,1.1395286510758176e-12
162,1.1326259850936941e-12
163,1.1257665364920782e-12
164,1.1189695612463262e-12
165,1.1121078149183556e-12
166,1.1053423471866006e-12
167,1.0986155876178943e-12
168,1.0917960931391855e-12
169,1.0850680012477428e-12
170,1.0782479832692238e-12
171,1.0714509768426191e-12
172,1.0646954311093687e-12
173,1.0579186827830238e-12
174,1.0512577383249138e-12
175,1.0444358011457259e-12
176,1.0376689378595428e-12
177,1.0308941854711047e-12
178,1.0240843575903378e-12
179,1.0173395129846989e-12
180,1.0106060512731188e-12
181,1.0038214473199393e-12
182,9.971030097507877e-13
183,9.90295662203287e-13
184,9.835184615006105e-13
185,9.767430687875887e-13
186,9.699566376261692e-13
187,9.6326006945172e-13
188,9.564383796994095e-13
189,9.496829855579602e-13
190,9.428852934828364e-13
191,9.360723230960471e-13
192,9.292984109746076e-13
193,9.225278973968775e-13
194,9.157312140307582e-13
195,9.089880639788325e-13
196,9.021740838321744e-13
197,8.953919895128782e-13
198,8.885957369419502e-13
199,8.817991419569393e-13
200,8.7501972564146e-13
201,8.682459968187734e-13
202,8.614951259259048e-13
203,8.546875760543473e-13
204,8.478941322153846e-13
205,8.411126494563972e-13
206,8.343394544709415e-13
207,8.275594053161364e-13
208,8.208192217877522e-13
209,8.140318840215865e-13
210,8.07282578242703e-13
211,8.005107562187482e-13
212,7.937523379684414e-13
213,7.870063495545221e-13
214,7.802699374080338e-13
215,7.735315781010368e-13
216,7.668199329538845e-13
217,7.601025469978081e-13
218,7.533820782436945e-13
219,7.466787933665721e-13
220,7.399777678744685e-13
221,7.333153779265843e-13
222,7.266261777024851e-13
223,7.199830083890936e-13
224,7.133181043831758e-13
225,7.066816310251202e-13
226,7.000502468181731e-13
227,6.934405971057633e-13
228,6.868375849867656e-13
229,6.802653780871623e-13
230,6.7368819483406e-13
231,6.671430638556916e-13
232,6.605993861635811e-13
233,6.540792831514422e-13
234,6.47588534942446e-13
235,6.410908089648094e-13
236,6.34642952393395e-13
237,6.281809163070968e-13
238,6.21762967689679e-13
239,6.153461535922366e-13
240,6.089623534737372e-13
241,6.025925097079712e-13
242,5.962567994772404e-13
243,5.899297544025834e-13
244,5.836435966057796e-13
245,5.773612397989351e-13
246,5.711185246845142e-13
247,5.648887596767789e-13
248,5.586921518749575e-13
249,5.525183899162947e-13
250,5.463761354377327e-13
251,5.402742673386267e-13
252,5.341699006973257e-13
253,5.281135377940238e-13
254,5.220722745434854e-13
255,5.160727827275863e-13
