,0
0,14400.0
1,14396.5
2,14393.0
3,14389.5
4,14386.0
5,14382.5
6,14379.0
7,14375.5
8,14372.0
9,14368.5
10,14365.0
11,14361.5
12,14358.0
13,14354.5
14,14351.0
15,14347.5
16,14344.0
17,14340.5
18,14337.0
19,14333.5
20,14330.0
21,14326.5
22,14323.0
23,14319.5
24,14316.0
25,14312.5
26,14309.0
27,14305.5
28,14302.0
29,14298.5
30,14295.0
31,14291.5
32,14288.0
33,14284.5
34,14281.0
35,14277.5
36,14274.0
37,14270.5
38,14267.0
39,14263.5
40,14260.0
41,14256.5
42,14253.0
43,14249.5
44,14246.0
45,14242.5
46,14239.0
47,14235.5
48,14232.0
49,14228.5
50,14225.0
51,14221.5
52,14218.0
53,14214.5
54,14211.0
55,14207.5
56,14204.0
57,14200.5
58,14197.0
59,14193.5
60,14190.0
61,14186.5
62,14183.0
63,14179.5
64,14176.0
65,14172.5
66,14169.0
67,14165.5
68,14162.0
69,14158.5
70,14155.0
71,14151.5
72,14148.0
73,14144.5
74,14141.0
75,14137.5
76,14134.0
77,14130.5
78,14127.0
79,14123.5
80,14120.0
81,14116.5
82,14113.0
83,14109.5
84,14106.0
85,14102.5
86,14099.0
87,14095.5
88,14092.0
89,14088.5
90,14085.0
91,14081.5
92,14078.0
93,14074.5
94,14071.0
95,14067.5
96,14064.0
97,14060.5
98,14057.0
99,14053.5
100,14050.0
101,14046.5
102,14043.0
103,14039.5
104,14036.0
105,14032.5
106,14029.0
107,14025.5
108,14022.0
109,14018.5
110,14015.0
111,14011.5
112,14008.0
113,14004.5
114,14001.0
115,13997.5
116,13994.0
117,13990.5
118,13987.0
119,13983.5
120,13980.0
121,13976.5
122,13973.0
123,13969.5
124,13966.0
125,13962.5
126,13959.0
127,13955.5
128,13952.0
129,13948.5
130,13945.0
131,13941.5
132,13938.0
133,13934.5
134,13931.0
135,13927.5
136,13924.0
137,13920.5
138,13917.0
139,13913.5
140,13910.0
141,13906.5
142,13903.0
143,13899.5
144,13896.0
145,13892.5
146,13889.0
147,13885.5
148,13882.0
149,13878.5
150,13875.0
151,13871.5
152,13868.0
153,13864.5
154,13861.0
155,13857.5
156,13854.0
157,13850.5
158,13847.0
159,13843.5
160,13840.0
161,13836.5
162,13833.0
163,13829.5
164,13826.0
165,13822.5
166,13819.0
167,13815.5
168,13812.0
169,13808.5
170,13805.0
171,13801.5
172,13798.0
173,13794.5
174,13791.0
175,13787.5
176,13784.0
177,13780.5
178,13777.0
179,13773.5
180,13770.0
181,13766.5
182,13763.0
183,13759.5
184,13756.0
185,13752.5
186,13749.0
187,13745.5
188,13742.0
189,13738.5
190,13735.0
191,13731.5
192,13728.0
193,13724.5
194,13721.0
195,13717.5
196,13714.0
197,13710.5
198,13707.0
199,13703.5
200,13700.0
201,13696.5
202,13693.0
203,13689.5
204,13686.0
205,13682.5
206,13679.0
207,13675.5
208,13672.0
209,13668.5
210,13665.0
211,13661.5
212,13658.0
213,13654.5
214,13651.0
215,13647.5
216,13644.0
217,13640.5
218,13637.0
219,13633.5
220,13630.0
221,13626.5
222,13623.0
223,13619.5
224,13616.0
225,13612.5
226,13609.0
227,13605.5
228,13602.0
229,13598.5
230,13595.0
231,13591.5
232,13588.0
233,13584.5
234,13581.0
235,13577.5
236,13574.0
237,13570.5
238,13567.0
239,13563.5
240,13560.0
241,13556.5
242,13553.0
243,13549.5
244,13546.0
245,13542.5
246,13539.0
247,13535.5
248,13532.0
249,13528.5
250,13525.0
251,13521.5
252,13518.0
253,13514.5
254,13511.0
255,13507.5
256,13504.0
257,13500.5
258,13497.0
259,13493.5
260,13490.0
261,13486.5
262,13483.0
263,13479.5
264,13476.0
265,13472.5
266,13469.0
267,13465.5
268,13462.0
269,13458.5
270,13455.0
271,13451.5
272,13448.0
273,13444.5
274,13441.0
275,13437.5
276,13434.0
277,13430.5
278,13427.0
279,13423.5
280,13420.0
281,13416.5
282,13413.0
283,13409.5
284,13406.0
285,13402.5
286,13399.0
287,13395.5
288,13392.0
289,13388.5
290,13385.0
291,13381.5
292,13378.0
293,13374.5
294,13371.0
295,13367.5
296,13364.0
297,13360.5
298,13357.0
299,13353.5
300,13350.0
301,13346.5
302,13343.0
303,13339.5
304,13336.0
305,13332.5
306,13329.0
307,13325.5
308,13322.0
309,13318.5
310,13315.0
311,13311.5
312,13308.0
313,13304.5
314,13301.0
315,13297.5
316,13294.0
317,13290.5
318,13287.0
319,13283.5
320,13280.0
321,13276.5
322,13273.0
323,13269.5
324,13266.0
325,13262.5
326,13259.0
327,13255.5
328,13252.0
329,13248.5
330,13245.0
331,13241.5
332,13238.0
333,13234.5
334,13231.0
335,13227.5
336,13224.0
337,13220.5
338,13217.0
339,13213.5
340,13210.0
341,13206.5
342,13203.0
343,13199.5
344,13196.0
345,13192.5
346,13189.0
347,13185.5
348,13182.0
349,13178.5
350,13175.0
351,13171.5
352,13168.0
353,13164.5
354,13161.0
355,13157.5
356,13154.0
357,13150.5
358,13147.0
359,13143.5
360,13140.0
361,13136.5
362,13133.0
363,13129.5
364,13126.0
365,13122.5
366,13119.0
367,13115.5
368,13112.0
369,13108.5
370,13105.0
371,13101.5
372,13098.0
373,13094.5
374,13091.0
375,13087.5
376,13084.0
377,13080.5
378,13077.0
379,13073.5
380,13070.0
381,13066.5
382,13063.0
383,13059.5
384,13056.0
385,13052.5
386,13049.0
387,13045.5
388,13042.0
389,13038.5
390,13035.0
391,13031.5
392,13028.0
393,13024.5
394,13021.0
395,13017.5
396,13014.0
397,13010.5
398,13007.0
399,13003.5
400,13000.0
401,12996.5
402,12993.0
403,12989.5
404,12986.0
405,12982.5
406,12979.0
407,12975.5
408,12972.0
409,12968.5
410,12965.0
411,12961.5
412,12958.0
413,12954.5
414,12951.0
415,12947.5
416,12944.0
417,12940.5
418,12937.0
419,12933.5
420,12930.0
421,12926.5
422,12923.0
423,12919.5
424,12916.0
425,12912.5
426,12909.0
427,12905.5
428,12902.0
429,12898.5
430,12895.0
431,12891.5
432,12888.0
433,12884.5
434,12881.0
435,12877.5
436,12874.0
437,12870.5
438,12867.0
439,12863.5
440,12860.0
441,12856.5
442,12853.0
443,12849.5
444,12846.0
445,12842.5
446,12839.0
447,12835.5
448,12832.0
449,12828.5
450,12825.0
451,12821.5
452,12818.0
453,12814.5
454,12811.0
455,12807.5
456,12804.0
457,12800.5
458,12797.0
459,12793.5
460,12790.0
461,12786.5
462,12783.0
463,12779.5
464,12776.0
465,12772.5
466,12769.0
467,12765.5
468,12762.0
469,12758.5
470,12755.0
471,12751.5
472,12748.0
473,12744.5
474,12741.0
475,12737.5
476,12734.0
477,12730.5
478,12727.0
479,12723.5
480,12720.0
481,12716.5
482,12713.0
483,12709.5
484,12706.0
485,12702.5
486,12699.0
487,12695.5
488,12692.0
489,12688.5
490,12685.0
491,12681.5
492,12678.0
493,12674.5
494,12671.0
495,12667.5
496,12664.0
497,12660.5
498,12657.0
499,12653.5
500,12650.0
501,12646.5
502,12643.0
503,12639.5
504,12636.0
505,12632.5
506,12629.0
507,12524.0
508,12419.0
509,12314.0
510,12209.0
511,12104.0
512,11999.0
513,11894.0
514,11789.0
515,11684.0
516,11579.0
517,11474.0
518,11369.0
519,11264.0
520,11159.0
521,11054.0
522,10949.0
523,10844.0
524,10739.0
525,10634.0
526,10529.0
527,10424.0
528,10319.0
529,10214.0
530,10109.0
531,10004.0
532,9969.0
533,9934.0
534,9899.0
535,9864.0
536,9829.0
537,9794.0
538,9759.0
539,9724.0
540,9689.0
541,9654.0
542,9619.0
543,9584.0
544,9549.0
545,9514.0
546,9479.0
547,9444.0
548,9409.0
549,9374.0
550,9269.0
551,9164.0
552,9059.0
553,8954.0
554,8849.0
555,8744.0
556,8639.0
557,8534.0
558,8429.0
559,8324.0
560,8219.0
561,8114.0
562,8009.0
563,7904.0
564,7799.0
565,7694.0
566,7589.0
567,7484.0
568,7379.0
569,7274.0
570,7169.0
571,7064.0
572,6959.0
573,6854.0
574,6749.0
575,6644.0
576,6539.0
577,6434.0
578,6329.0
579,6224.0
580,6119.0
581,6014.0
582,5909.0
583,5804.0
584,5699.0
585,5594.0
586,5489.0
587,5384.0
588,5279.0
589,5174.0
590,5069.0
591,4964.0
592,4859.0
593,4754.0
594,4649.0
595,4544.0
596,4439.0
597,4334.0
598,4229.0
599,4124.0
600,4019.0
601,3914.0
602,3809.0
603,3704.0
604,3599.0
605,3494.0
606,3389.0
607,3284.0
608,3179.0
609,3074.0
610,2969.0
611,2864.0
612,2759.0
613,2654.0
614,2549.0
615,2444.0
616,2339.0
617,2234.0
618,2129.0
619,2024.0
620,1919.0
621,1814.0
622,1709.0
623,1604.0
624,1499.0
625,1394.0
626,1289.0
627,1184.0
628,1079.0
629,974.0
630,869.0
631,764.0
632,659.0
633,554.0
634,449.0
635,344.0
636,239.0
637,134.0
638,29.0
